Date,Year,Month,Day,Quarter,Week,DayOfWeek,DayName,MonthName,IsWeekend
2020-07-20 06:29:29.604034,2020,7,20,3,30,0,Monday,July,False
2020-07-21 06:29:29.604034,2020,7,21,3,30,1,Tuesday,July,False
2020-07-22 06:29:29.604034,2020,7,22,3,30,2,Wednesday,July,False
2020-07-23 06:29:29.604034,2020,7,23,3,30,3,Thursday,July,False
2020-07-24 06:29:29.604034,2020,7,24,3,30,4,Friday,July,False
2020-07-25 06:29:29.604034,2020,7,25,3,30,5,Saturday,July,True
2020-07-26 06:29:29.604034,2020,7,26,3,30,6,Sunday,July,True
2020-07-27 06:29:29.604034,2020,7,27,3,31,0,Monday,July,False
2020-07-28 06:29:29.604034,2020,7,28,3,31,1,Tuesday,July,False
2020-07-29 06:29:29.604034,2020,7,29,3,31,2,Wednesday,July,False
2020-07-30 06:29:29.604034,2020,7,30,3,31,3,Thursday,July,False
2020-07-31 06:29:29.604034,2020,7,31,3,31,4,Friday,July,False
2020-08-01 06:29:29.604034,2020,8,1,3,31,5,Saturday,August,True
2020-08-02 06:29:29.604034,2020,8,2,3,31,6,Sunday,August,True
2020-08-03 06:29:29.604034,2020,8,3,3,32,0,Monday,August,False
2020-08-04 06:29:29.604034,2020,8,4,3,32,1,Tuesday,August,False
2020-08-05 06:29:29.604034,2020,8,5,3,32,2,Wednesday,August,False
2020-08-06 06:29:29.604034,2020,8,6,3,32,3,Thursday,August,False
2020-08-07 06:29:29.604034,2020,8,7,3,32,4,Friday,August,False
2020-08-08 06:29:29.604034,2020,8,8,3,32,5,Saturday,August,True
2020-08-09 06:29:29.604034,2020,8,9,3,32,6,Sunday,August,True
2020-08-10 06:29:29.604034,2020,8,10,3,33,0,Monday,August,False
2020-08-11 06:29:29.604034,2020,8,11,3,33,1,Tuesday,August,False
2020-08-12 06:29:29.604034,2020,8,12,3,33,2,Wednesday,August,False
2020-08-13 06:29:29.604034,2020,8,13,3,33,3,Thursday,August,False
2020-08-14 06:29:29.604034,2020,8,14,3,33,4,Friday,August,False
2020-08-15 06:29:29.604034,2020,8,15,3,33,5,Saturday,August,True
2020-08-16 06:29:29.604034,2020,8,16,3,33,6,Sunday,August,True
2020-08-17 06:29:29.604034,2020,8,17,3,34,0,Monday,August,False
2020-08-18 06:29:29.604034,2020,8,18,3,34,1,Tuesday,August,False
2020-08-19 06:29:29.604034,2020,8,19,3,34,2,Wednesday,August,False
2020-08-20 06:29:29.604034,2020,8,20,3,34,3,Thursday,August,False
2020-08-21 06:29:29.604034,2020,8,21,3,34,4,Friday,August,False
2020-08-22 06:29:29.604034,2020,8,22,3,34,5,Saturday,August,True
2020-08-23 06:29:29.604034,2020,8,23,3,34,6,Sunday,August,True
2020-08-24 06:29:29.604034,2020,8,24,3,35,0,Monday,August,False
2020-08-25 06:29:29.604034,2020,8,25,3,35,1,Tuesday,August,False
2020-08-26 06:29:29.604034,2020,8,26,3,35,2,Wednesday,August,False
2020-08-27 06:29:29.604034,2020,8,27,3,35,3,Thursday,August,False
2020-08-28 06:29:29.604034,2020,8,28,3,35,4,Friday,August,False
2020-08-29 06:29:29.604034,2020,8,29,3,35,5,Saturday,August,True
2020-08-30 06:29:29.604034,2020,8,30,3,35,6,Sunday,August,True
2020-08-31 06:29:29.604034,2020,8,31,3,36,0,Monday,August,False
2020-09-01 06:29:29.604034,2020,9,1,3,36,1,Tuesday,September,False
2020-09-02 06:29:29.604034,2020,9,2,3,36,2,Wednesday,September,False
2020-09-03 06:29:29.604034,2020,9,3,3,36,3,Thursday,September,False
2020-09-04 06:29:29.604034,2020,9,4,3,36,4,Friday,September,False
2020-09-05 06:29:29.604034,2020,9,5,3,36,5,Saturday,September,True
2020-09-06 06:29:29.604034,2020,9,6,3,36,6,Sunday,September,True
2020-09-07 06:29:29.604034,2020,9,7,3,37,0,Monday,September,False
2020-09-08 06:29:29.604034,2020,9,8,3,37,1,Tuesday,September,False
2020-09-09 06:29:29.604034,2020,9,9,3,37,2,Wednesday,September,False
2020-09-10 06:29:29.604034,2020,9,10,3,37,3,Thursday,September,False
2020-09-11 06:29:29.604034,2020,9,11,3,37,4,Friday,September,False
2020-09-12 06:29:29.604034,2020,9,12,3,37,5,Saturday,September,True
2020-09-13 06:29:29.604034,2020,9,13,3,37,6,Sunday,September,True
2020-09-14 06:29:29.604034,2020,9,14,3,38,0,Monday,September,False
2020-09-15 06:29:29.604034,2020,9,15,3,38,1,Tuesday,September,False
2020-09-16 06:29:29.604034,2020,9,16,3,38,2,Wednesday,September,False
2020-09-17 06:29:29.604034,2020,9,17,3,38,3,Thursday,September,False
2020-09-18 06:29:29.604034,2020,9,18,3,38,4,Friday,September,False
2020-09-19 06:29:29.604034,2020,9,19,3,38,5,Saturday,September,True
2020-09-20 06:29:29.604034,2020,9,20,3,38,6,Sunday,September,True
2020-09-21 06:29:29.604034,2020,9,21,3,39,0,Monday,September,False
2020-09-22 06:29:29.604034,2020,9,22,3,39,1,Tuesday,September,False
2020-09-23 06:29:29.604034,2020,9,23,3,39,2,Wednesday,September,False
2020-09-24 06:29:29.604034,2020,9,24,3,39,3,Thursday,September,False
2020-09-25 06:29:29.604034,2020,9,25,3,39,4,Friday,September,False
2020-09-26 06:29:29.604034,2020,9,26,3,39,5,Saturday,September,True
2020-09-27 06:29:29.604034,2020,9,27,3,39,6,Sunday,September,True
2020-09-28 06:29:29.604034,2020,9,28,3,40,0,Monday,September,False
2020-09-29 06:29:29.604034,2020,9,29,3,40,1,Tuesday,September,False
2020-09-30 06:29:29.604034,2020,9,30,3,40,2,Wednesday,September,False
2020-10-01 06:29:29.604034,2020,10,1,4,40,3,Thursday,October,False
2020-10-02 06:29:29.604034,2020,10,2,4,40,4,Friday,October,False
2020-10-03 06:29:29.604034,2020,10,3,4,40,5,Saturday,October,True
2020-10-04 06:29:29.604034,2020,10,4,4,40,6,Sunday,October,True
2020-10-05 06:29:29.604034,2020,10,5,4,41,0,Monday,October,False
2020-10-06 06:29:29.604034,2020,10,6,4,41,1,Tuesday,October,False
2020-10-07 06:29:29.604034,2020,10,7,4,41,2,Wednesday,October,False
2020-10-08 06:29:29.604034,2020,10,8,4,41,3,Thursday,October,False
2020-10-09 06:29:29.604034,2020,10,9,4,41,4,Friday,October,False
2020-10-10 06:29:29.604034,2020,10,10,4,41,5,Saturday,October,True
2020-10-11 06:29:29.604034,2020,10,11,4,41,6,Sunday,October,True
2020-10-12 06:29:29.604034,2020,10,12,4,42,0,Monday,October,False
2020-10-13 06:29:29.604034,2020,10,13,4,42,1,Tuesday,October,False
2020-10-14 06:29:29.604034,2020,10,14,4,42,2,Wednesday,October,False
2020-10-15 06:29:29.604034,2020,10,15,4,42,3,Thursday,October,False
2020-10-16 06:29:29.604034,2020,10,16,4,42,4,Friday,October,False
2020-10-17 06:29:29.604034,2020,10,17,4,42,5,Saturday,October,True
2020-10-18 06:29:29.604034,2020,10,18,4,42,6,Sunday,October,True
2020-10-19 06:29:29.604034,2020,10,19,4,43,0,Monday,October,False
2020-10-20 06:29:29.604034,2020,10,20,4,43,1,Tuesday,October,False
2020-10-21 06:29:29.604034,2020,10,21,4,43,2,Wednesday,October,False
2020-10-22 06:29:29.604034,2020,10,22,4,43,3,Thursday,October,False
2020-10-23 06:29:29.604034,2020,10,23,4,43,4,Friday,October,False
2020-10-24 06:29:29.604034,2020,10,24,4,43,5,Saturday,October,True
2020-10-25 06:29:29.604034,2020,10,25,4,43,6,Sunday,October,True
2020-10-26 06:29:29.604034,2020,10,26,4,44,0,Monday,October,False
2020-10-27 06:29:29.604034,2020,10,27,4,44,1,Tuesday,October,False
2020-10-28 06:29:29.604034,2020,10,28,4,44,2,Wednesday,October,False
2020-10-29 06:29:29.604034,2020,10,29,4,44,3,Thursday,October,False
2020-10-30 06:29:29.604034,2020,10,30,4,44,4,Friday,October,False
2020-10-31 06:29:29.604034,2020,10,31,4,44,5,Saturday,October,True
2020-11-01 06:29:29.604034,2020,11,1,4,44,6,Sunday,November,True
2020-11-02 06:29:29.604034,2020,11,2,4,45,0,Monday,November,False
2020-11-03 06:29:29.604034,2020,11,3,4,45,1,Tuesday,November,False
2020-11-04 06:29:29.604034,2020,11,4,4,45,2,Wednesday,November,False
2020-11-05 06:29:29.604034,2020,11,5,4,45,3,Thursday,November,False
2020-11-06 06:29:29.604034,2020,11,6,4,45,4,Friday,November,False
2020-11-07 06:29:29.604034,2020,11,7,4,45,5,Saturday,November,True
2020-11-08 06:29:29.604034,2020,11,8,4,45,6,Sunday,November,True
2020-11-09 06:29:29.604034,2020,11,9,4,46,0,Monday,November,False
2020-11-10 06:29:29.604034,2020,11,10,4,46,1,Tuesday,November,False
2020-11-11 06:29:29.604034,2020,11,11,4,46,2,Wednesday,November,False
2020-11-12 06:29:29.604034,2020,11,12,4,46,3,Thursday,November,False
2020-11-13 06:29:29.604034,2020,11,13,4,46,4,Friday,November,False
2020-11-14 06:29:29.604034,2020,11,14,4,46,5,Saturday,November,True
2020-11-15 06:29:29.604034,2020,11,15,4,46,6,Sunday,November,True
2020-11-16 06:29:29.604034,2020,11,16,4,47,0,Monday,November,False
2020-11-17 06:29:29.604034,2020,11,17,4,47,1,Tuesday,November,False
2020-11-18 06:29:29.604034,2020,11,18,4,47,2,Wednesday,November,False
2020-11-19 06:29:29.604034,2020,11,19,4,47,3,Thursday,November,False
2020-11-20 06:29:29.604034,2020,11,20,4,47,4,Friday,November,False
2020-11-21 06:29:29.604034,2020,11,21,4,47,5,Saturday,November,True
2020-11-22 06:29:29.604034,2020,11,22,4,47,6,Sunday,November,True
2020-11-23 06:29:29.604034,2020,11,23,4,48,0,Monday,November,False
2020-11-24 06:29:29.604034,2020,11,24,4,48,1,Tuesday,November,False
2020-11-25 06:29:29.604034,2020,11,25,4,48,2,Wednesday,November,False
2020-11-26 06:29:29.604034,2020,11,26,4,48,3,Thursday,November,False
2020-11-27 06:29:29.604034,2020,11,27,4,48,4,Friday,November,False
2020-11-28 06:29:29.604034,2020,11,28,4,48,5,Saturday,November,True
2020-11-29 06:29:29.604034,2020,11,29,4,48,6,Sunday,November,True
2020-11-30 06:29:29.604034,2020,11,30,4,49,0,Monday,November,False
2020-12-01 06:29:29.604034,2020,12,1,4,49,1,Tuesday,December,False
2020-12-02 06:29:29.604034,2020,12,2,4,49,2,Wednesday,December,False
2020-12-03 06:29:29.604034,2020,12,3,4,49,3,Thursday,December,False
2020-12-04 06:29:29.604034,2020,12,4,4,49,4,Friday,December,False
2020-12-05 06:29:29.604034,2020,12,5,4,49,5,Saturday,December,True
2020-12-06 06:29:29.604034,2020,12,6,4,49,6,Sunday,December,True
2020-12-07 06:29:29.604034,2020,12,7,4,50,0,Monday,December,False
